,,,,,,,
,AcX,AcY,AcZ,Tmp,GyX,GyY,GyZ
,16688,100,1556,26.6,-228,-118,-29
,16908,208,1676,26.69,-224,-110,-40
,16968,164,1680,26.69,-200,-123,-2
,16840,192,1728,26.69,-229,-114,-18
,16828,184,1768,26.65,-210,-123,-30
,16820,84,1640,26.65,-216,-116,-38
,16768,180,1552,26.6,-223,-136,-34
,16824,240,1560,26.69,-224,-139,-19
,16716,72,1532,26.55,-231,-146,-27
,16888,160,1560,26.65,-206,-129,-45
,16744,176,1672,26.65,-228,-109,-26
,16864,236,1632,26.65,-210,-118,-34
,16876,108,1584,26.74,-232,-116,-27
,16868,220,1688,26.69,-221,-101,-41
,16880,220,1724,26.6,-239,-134,-23
,16884,128,1640,26.65,-237,-126,-10
,17064,260,1584,26.65,-215,-140,-16
,16864,208,1692,26.65,-224,-117,-38
,16784,212,1636,26.69,-228,-126,-29
,16840,236,1680,26.6,-237,-109,-16
,16712,112,1792,26.65,-225,-131,-29
,16956,144,1684,26.65,-224,-118,-35
,16776,200,1628,26.65,-227,-125,-50
,16864,188,1564,26.65,-221,-126,-26
,16808,84,1728,26.69,-212,-102,-27
,16636,168,1612,26.6,-214,-121,-28
,16836,176,1704,26.65,-221,-138,-21
,16924,176,1736,26.6,-218,-126,-34
,16812,276,1652,26.69,-200,-112,-25
,16876,212,1736,26.69,-213,-126,-21
,17016,212,1932,26.65,-226,-114,-37
,16688,152,1736,26.69,-211,-140,-35
,16964,280,1716,26.6,-208,-144,-17
,16696,124,1564,26.6,-217,-140,-24
,16808,164,1476,26.79,-221,-134,-45
,16968,164,1544,26.69,-203,-118,-21
,16988,152,1596,26.55,-218,-126,-33
,16920,212,1500,26.55,-212,-121,-22
,17012,108,1500,26.65,-210,-110,-27
,16820,144,1480,26.6,-250,-116,-28
,16876,224,1540,26.69,-238,-132,-44
,16824,232,1796,26.65,-236,-102,-16
,16760,248,1584,26.69,-207,-128,-30
,16876,228,1736,26.65,-218,-133,-27
,16688,80,1656,26.6,-217,-126,-22
,16800,164,1632,26.69,-207,-133,-51
,16900,144,1544,26.65,-223,-115,-16
,17104,280,1800,26.69,-216,-117,-21
,16904,164,1480,26.69,-214,-119,-15
,16776,164,1512,26.69,-222,-128,-18
,16948,176,1648,26.65,-251,-125,-20
,16792,60,1632,26.69,-204,-133,-23
,16880,216,1656,26.65,-234,-136,-15
,16944,268,1560,26.74,-207,-125,-16
,16924,176,1668,26.6,-205,-136,-10
,16856,276,1440,26.6,-206,-135,-19
,17032,280,1724,26.6,-235,-119,-22
,16808,264,1712,26.69,-237,-104,-34
,16684,176,1632,26.65,-205,-95,-34
,16720,136,1648,26.65,-215,-119,-29
,16856,268,1536,26.79,-217,-126,-23
,16996,232,1792,26.65,-218,-121,-35
,16920,240,2404,26.65,-180,-122,-12
,16668,148,1512,26.74,-231,-112,-21
,17104,124,1652,26.74,-215,-113,-17
,17264,324,1668,26.6,-208,-119,-28
Average,16877.52795,190.0372671,1637.751553,26.58763975,-221.0310559,-121.6677019,-25.98757764
Std,108.3743404,59.36506081,92.86073256,0.092510944,11.20770894,11.16004278,9.68442085
Max,17264,332,2404,26.79,-180,-90,5
Min,16632,40,1420,26.32,-251,-151,-53
Dif,632,292,984,0.47,71,61,58
